Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ірванець,Феофан,Романович,Чоловік,1954-01-13,Публіцист,село Остер,"сквер Люстдорфський, буд. 751 кв. 6, Бобровиця, 47965",339 89 71,odarkalutsenko@example.com
Рубець,Ілля,Петрович,Чоловік,1972-01-23,Художник,село Могилів-Подільський,"площа Соборна, буд. 641, Новий Калинів, 47299",+380 54 321-72-27,skorykklyment@example.net
Шведченко,Єлисей,Дмитрович,Чоловік,1964-11-06,Складальник,село Чортків,"набережна Проїзний 1-й, буд. 15 кв. 5, Славутич, 70135",479-34-14,uandriiovych@example.net
Баштан,Орест,Романович,Чоловік,1977-05-15,Штукатур,село Переяслав,"узвіз Михайла Грушевського, буд. 8 кв. 568, Миколаїв, 30999",+380 89 261-13-93,karmaliukiaryna@example.net
Якименко,Марко,Тимофійович,Чоловік,1956-04-21,Астрофізик,місто Глиняни,"узвіз Капітана Гаврікова, буд. 5, Переяслав, 74538",060 924 87 09,nalyvaikomarko@example.org
Ящук,Ярема,Романович,Чоловік,2001-05-08,Ріелтор,місто Южноукраїнськ,"набережна Кордонна, буд. 0 кв. 69, Красноперекопськ, 22542",084-93-15,havrylobazylevskyi@example.net
Сич,Соломон,Андрійович,Чоловік,1946-04-09,Правник,селище Мирноград,"парк Левадна, буд. 597, Шепетівка, 07017",+380 21 406-52-14,sadamchuk@example.org
Тесля,Амвросій,Богданович,Чоловік,1997-10-15,Письменник,місто Прип'ять,"узвіз Проїзний 3-й, буд. 290 кв. 9, Молочанськ, 95033",012 325 12 90,kyrylodubyna@example.net
Гайворонський,Аврелій,Романович,Чоловік,2002-05-31,Електрослюсар,село Алмазна,"шосе Володимира Антоновича, буд. 0 кв. 687, Вараш, 08040",+380 08 293-74-78,mykhailynadanylenko@example.org
Щириця,Борис,Павлович,Чоловік,1946-02-25,Євнух,селище Малин,"провулок 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 179, Сімферополь, 81099",859 84 55,hoholvolodymyr@example.org
Девдюк,Олег,Володимирович,Чоловік,1954-04-16,Композитор,хутір Сокологірськ,"вулиця Колекційна, буд. 04, Кривий Ріг, 99814",044 093 51 03,teodor96@example.com
Юрченко,Тимофій,Петрович,Чоловік,1992-08-24,Педагог,місто Красилів,"парк Персикова, буд. 790, Красноперекопськ, 13610",858-82-66,iukhymenkoivan@example.org
Коваленко,Євген,Олексійович,Чоловік,1996-09-19,Клавішник,місто Каховка,"узвіз Чорноморська, буд. 150 кв. 7, Перечин, 46919",987 54 36,vasyl68@example.org
Дурдинець,Петро,Тимофійович,Чоловік,1970-08-09,Кінорежисер,місто Докучаєвськ,"набережна Ференца Ліста, буд. 4 кв. 2, Свалява, 03252",130-20-93,adashkevych@example.net
Килимник,Юхим,Арсенійович,Чоловік,1948-02-27,Астроном,селище Ржищів,"сквер Просвіти, буд. 1, Селидове, 16638",+380 (38) 224-06-52,ztverdokhlib@example.net
Салій,Спас,Павлович,Чоловік,1968-01-16,Льотчик,село Тульчин,"набережна Радіальний, буд. 769, Ічня, 41934",+380 95 124-22-24,marko31@example.org
Вергун,Леопольд,Олександрович,Чоловік,1941-01-02,Хореограф,село Ковель,"площа Лузанівський 1-й, буд. 661, Тульчин, 07455",+380 (34) 509-95-12,alevtynadamchuk@example.com
Скопенко,Орест,Григорович,Чоловік,1994-12-09,Астроном,місто Острог,"парк Заводська 2-га, буд. 229 кв. 5, Дубляни, 52709",002-25-95,uartemenko@example.net
Лазаренко,Михайло,Богданович,Чоловік,1964-06-21,Бухгалтер,хутір Яремче,"узвіз Пересипський 2-й, буд. 710 кв. 450, Васильків, 76295",+380 53 832-56-58,dzyndraprokhir@example.com
Редько,Андрій,Тимофійович,Чоловік,1977-10-23,Диригент,місто Голубівка,"шосе Кипарисний 2-й, буд. 7, Соледар, 45369",+380 03 873 61 24,iarema96@example.net
Комар,Герман,Дмитрович,Чоловік,1998-04-25,Бібліотекар,село Новояворівськ,"парк Байкал тупик, буд. 30, Кам'янське, 46065",404-07-58,czabila@example.net
Мазур,Ярослав,Іванович,Чоловік,1999-04-02,Золотар,місто Миколаївка,"провулок Наявний 2-й, буд. 44 кв. 496, Попасна, 49904",052 264 35 50,iakymenkodavyd@example.com
Приймак,Петро,Дмитрович,Чоловік,1991-05-19,Бухгалтер,місто Золотоноша,"набережна Саксаганського, буд. 335, Богодухів, 35566",+380 (14) 953-46-83,bpelekh@example.com
Венгринович,Мартин,Юрійович,Чоловік,1986-11-02,Золотар,селище Сніжне,"набережна Різницький, буд. 887, Новоазовськ, 34034",+380 05 941-80-08,shutkoviktoriia@example.org
Затовканюк,Теодор,Арсенійович,Чоловік,1959-03-20,Провізор,село Білицьке,"набережна Пересипська 7-ма, буд. 0 кв. 314, Буськ, 66157",947 72 49,havrylyshyndan@example.org
Байда,Феофан,Максимович,Чоловік,1994-02-06,Будник,хутір Рожище,"вулиця Навігаційний, буд. 7 кв. 8, Дубровиця, 34380",+380 25 771-75-96,stefan71@example.net
Чередник,Семен,Сергійович,Чоловік,1979-03-14,Адвокат,хутір Монастирище,"площа Лїнія 1-ша, буд. 62 кв. 8, Снігурівка, 20151",044 340 03 21,priska20@example.com
Заїка,Богуслав,Максимович,Чоловік,1950-11-05,Геофізик,місто Любомль,"провулок Митракова, буд. 7 кв. 865, Березне, 48464",129-54-93,svitlana00@example.net
Савенко,Єфрем,Володимирович,Чоловік,1941-11-17,Кушнір,хутір Часів Яр,"провулок Селищний, буд. 9 кв. 17, Збараж, 45173",+380 19 187-08-61,havrylyshynnazar@example.com
Зінкевич,Азар,Петрович,Чоловік,1953-10-13,Мистецтвознавець,селище Радехів,"парк Різдвяна, буд. 86 кв. 83, Хотин, 10777",+380 94 473-07-97,hryhorii91@example.org
Чумак,Стефан,Романович,Чоловік,1971-01-06,Піаніст,хутір Гребінка,"узвіз Головна, буд. 785, Бережани, 05890",+380 57 186-39-66,revahalyna@example.com
Юрчишин,Гордій,Володимирович,Чоловік,1977-11-22,Режисер,село Кривий Ріг,"площа Лінія 45-та, буд. 487 кв. 91, Білгород-Дністровський, 12901",+380 61 054-07-85,revaruslan@example.net
Авраменко,Давид,Володимирович,Чоловік,1947-02-15,Пекар,селище Володимир-Волинський,"набережна Ніщинського Композитора, буд. 0, Свалява, 84051",+380 (44) 160-18-94,babiichukbohodar@example.com
Андрощук,Пантелеймон,Григорович,Чоловік,1988-10-26,Вчитель,село Тячів,"набережна Мостовий, буд. 3, Багачеве, 67387",+380 03 036-10-02,sonishchuk@example.com
Гоголь-Яновський,Спас,Миколайович,Чоловік,1995-08-09,Флорист,село Гірське,"площа Красива, буд. 85 кв. 99, Лохвиця, 97284",291 48 12,iefrem10@example.com
Назаренко,Пантелеймон,Миколайович,Чоловік,1990-03-25,Паблік рилейшнз,село Судак,"провулок Ждахи, буд. 62, Новодністровськ, 35268",455 04 51,levchenkosemen@example.org
Ващенко,Костянтин,Богданович,Чоловік,2000-03-21,Бухгалтер,селище Новоселиця,"вулиця Солонцюватий 1-й, буд. 061 кв. 001, Рава-Руська, 44932",+380 (28) 451-80-95,kyrylenkoirena@example.net
Самойленко,Юхим,Григорович,Чоловік,2003-05-25,Паралегал,селище Біляївка,"набережна Вчительської, 2-й, буд. 617 кв. 9, Гребінка, 13367",000 115 37 37,tymofii15@example.net
Ґереґа,Олекса,Романович,Чоловік,1967-11-01,Маркетолог,селище Надвірна,"шосе Овідіопольська дорога, буд. 18 кв. 595, Лубни, 52215",+380 44 469 66 20,olhaiurchyshyn@example.com
Яремчук,Соломон,Тимофійович,Чоловік,1998-06-18,Стоматолог,селище Мала Виска,"шосе Івахненка Петра, буд. 868 кв. 4, Миронівка, 38609",+380 16 040 25 73,tetiana67@example.net
Єрьоменко,Мирослав,Тимофійович,Чоловік,1973-04-22,Модель,місто Перевальськ,"сквер Саксаганського, буд. 84 кв. 68, Покровськ, 36681",056 334 15 03,fiaremchuk@example.net
Сірко,Вадим,Іванович,Чоловік,1949-04-09,Доцент,місто Вільногірськ,"провулок Лютеранський, буд. 57, Севастополь, 54351",+380 71 072 91 54,iaroslavvatamaniuk@example.org
Запорожець,Мирослав,Юрійович,Чоловік,1956-10-12,Педагог,хутір Енергодар,"проспект Маловського, буд. 3, Городня, 35876",018 070 09 97,emiliia74@example.org
Гунько,Юстим,Васильович,Чоловік,1948-01-16,Професор,хутір Новоазовськ,"площа Гранатна, буд. 85, Куп'янськ, 42300",+380 11 157 86 39,tetiana75@example.org
Гайворонський,Давид,Романович,Чоловік,1979-02-26,Фотограф,селище Хирів,"проспект Надії Пучковської, буд. 8, Люботин, 90107",+380 44 669 28 22,geibozhenko@example.com
Ящук,Йосип,Юрійович,Чоловік,1992-11-13,Різноробочий,селище Приморськ,"вулиця Промислова, буд. 57 кв. 6, Городище, 15554",+380 (51) 999-41-91,nhaidabura@example.org
Ткаченко,Валентин,Васильович,Чоловік,2008-04-28,Астронавт,хутір Суми,"парк Чорноморський 10-й, буд. 78, Заліщики, 01034",050 765-62-27,eredko@example.net
Заїка,Костянтин,Іванович,Чоловік,1941-01-20,Геофізик,селище Сквира,"парк Савицький, буд. 4, Шпола, 44388",335 56 35,iaremchukmarta@example.org
Щириця,Давид,Євгенович,Чоловік,1943-05-17,Бізнесмен,хутір Герца,"проспект Дідріхсона, буд. 8 кв. 5, Бунге, 94693",444-38-32,liashkoarkadii@example.org
Вакарчук,Стефан,Юрійович,Чоловік,2002-06-08,Палеонтолог,селище Добромиль,"вулиця Ніщинського Композитора, буд. 25 кв. 9, Перемишляни, 10763",534 63 69,opanasenkoemiliia@example.net
Юрчишин,Омелян,Олексійович,Чоловік,1998-05-04,Ґрунтознавець,хутір Хорол,"парк Архітектурна, буд. 0 кв. 73, Помічна, 87344",011 658-30-27,zhuravelroman@example.com
Артюшенко,Аврелій,Дмитрович,Чоловік,2002-04-14,Астроном,селище Балаклія,"шосе Кобзаря, буд. 8 кв. 4, Дружківка, 21003",047 758-40-79,devdiuksemen@example.net
Жученко,Ярослав,Володимирович,Чоловік,1941-08-17,Кушнір,село Одеса,"вулиця Донцова Дмитра, буд. 392, Коростишів, 89575",036 233 78 16,zakharenkozlatoslava@example.org
Рак,Гаврило,Миколайович,Чоловік,1974-07-12,Астрофізик,селище Джанкой,"вулиця Строганов міст, буд. 90, Ялта, 74338",581 32 84,ystus@example.org
Чаленко,Вʼячеслав,Євгенович,Чоловік,1978-07-24,Музикант,селище Гнівань,"набережна Танкістів, буд. 29 кв. 76, Лутугине, 92200",+380 76 764-56-46,qilchenko@example.net
Зінчук,Олег,Іванович,Чоловік,1971-03-09,Кухар,село Бобровиця,"набережна Савицький, буд. 371 кв. 65, Кривий Ріг, 16115",+380 41 620-53-51,pylyp06@example.net
Деряжний,Болеслав,Юрійович,Чоловік,1942-11-20,Геолог,місто Чортків,"провулок Самодіяльна, буд. 56 кв. 92, П'ятихатки, 65891",023 033 22 62,hhavryliv@example.net
Акименко,Прохір,Євгенович,Чоловік,1949-03-10,Конструктор,місто Погребище,"набережна Український 2-й, буд. 07, Алушта, 49977",013 087 65 72,mykhailyna34@example.com
Гайдамака,Аарон,Тимофійович,Чоловік,2003-12-19,Фотограф,хутір Петрово-Красносілля,"набережна Нафтовиків 3-й, буд. 79 кв. 411, Донецьк, 92994",089 662 15 18,bakumenkosemen@example.com
Шиян,Зиновій,Олександрович,Чоловік,1998-08-30,Педагог,селище Копичинці,"парк Ігоря Іванова, буд. 3 кв. 568, Новодністровськ, 30943",+380 14 124 58 32,marusiamakohon@example.net
Панчук,Леонтій,Євгенович,Чоловік,1960-08-23,Геофізик,село Довжанськ,"парк Стовпова, буд. 308 кв. 14, Жидачів, 04223",354-01-28,ptsisyk@example.net
Мамчур,Демʼян,Васильович,Чоловік,1946-12-30,Громадський діяч,місто Тиврів,"проспект Паркова, буд. 05 кв. 28, Золоте, 87710",+380 11 117-30-30,kyrylo93@example.org
Козак,Олександр,Петрович,Чоловік,2006-06-10,Скульптор,місто Дунаївці,"узвіз Іспанська, буд. 5, Бахчисарай, 23368",081 086-71-85,lveres@example.org
Аверченко,Феофан,Арсенійович,Чоловік,1969-11-16,Диригент,село Копичинці,"сквер Аеродромна, буд. 45 кв. 4, Василівка, 33917",+380 (85) 045-33-10,larysa24@example.net
Артюх,Венедикт,Степанович,Чоловік,1987-05-20,Археолог,село Яготин,"площа Яблучна, буд. 2 кв. 864, Кам'янка-Дніпровська, 08982",039 382 96 93,lizapavlychenko@example.net
Авдєєнко,Ярослав,Олександрович,Чоловік,1975-08-04,Агроном,місто Хорол,"проспект Хутірська, буд. 660, Кипуче, 71837",+380 49 984 32 05,albert22@example.com
Джунь,Ростислав,Юрійович,Чоловік,2005-10-18,Географ,селище Обухів,"вулиця Тополина, буд. 39, Турка, 12951",+380 (79) 687-57-08,aleksiukruslan@example.org
Тягнибок,Омелян,Сергійович,Чоловік,1983-03-24,Пілот,хутір Хрустальний,"провулок Технічний, буд. 058 кв. 6, Сорокине, 74953",011 951 58 91,okseniiahuzenko@example.com
Червоненко,Леопольд,Юрійович,Чоловік,1955-03-03,Скульптор,місто Бахмач,"набережна Привокзальна, буд. 5, Хотин, 67658",765-54-95,panascherednyk@example.net
Мамчур,Мартин,Володимирович,Чоловік,1992-09-11,Мовознавець,село Нова Каховка,"вулиця Депутатський, буд. 7 кв. 91, Чернігів, 88680",196 06 45,kkaras@example.net
Захаренко,Леопольд,Іванович,Чоловік,1980-08-13,Гінеколог,місто П'ятихатки,"шосе Прорізна, буд. 31, Новоград-Волинський, 86747",019 911 94 30,mykhaliukvira@example.org
Артеменко,Ілля,Дмитрович,Чоловік,1966-01-22,Електротехнік,хутір Надвірна,"вулиця Житомирська, буд. 09 кв. 6, Ворожба, 21079",081 822 53 27,stefandzhun@example.com
Мазур,Пантелеймон,Васильович,Чоловік,1994-08-19,Дантист,хутір Ворожба,"парк Василя Капніста, буд. 38, Алчевськ, 98060",+380 (06) 466-01-85,tryhubustym@example.com
Бандура,Аврелій,Максимович,Чоловік,1954-08-12,Художник,село Бобровиця,"набережна Патріотична, буд. 530 кв. 609, Ічня, 75582",076 252-04-20,leonbabarychenko@example.org
Батіг,Мартин,Сергійович,Чоловік,1953-09-22,Няня,хутір Ізмаїл,"парк Аеропортівська, буд. 272, Білицьке, 56381",+380 75 199-63-02,ttymchuk@example.com
Іващенко,Остап,Юрійович,Чоловік,1987-04-05,Дипломат,село Коростишів,"проспект Світанку, буд. 5, Соледар, 93298",589-39-07,symonenkozlatoslava@example.com
Швайка,Данило,Володимирович,Чоловік,1950-08-24,Професор,хутір Березівка,"проспект Житомирський 3-й, буд. 68, Здолбунів, 39707",085 411 70 54,amvrosii70@example.net
Носенко,Максим,Іванович,Чоловік,1994-05-07,Реставратор,хутір Івано-Франківськ,"парк 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 261, Дружківка, 04315",+380 25 221-95-96,zynoviirak@example.net
Самойленко,Вадим,Романович,Чоловік,1980-04-29,Краєзнавець,хутір Бурштин,"вулиця Локальна, буд. 6 кв. 117, Верхньодніпровськ, 70601",+380 35 459-97-85,dbalaban@example.com
Баранник,Віктор,Сергійович,Чоловік,1952-01-04,Диригент,селище Рава-Руська,"проспект Ніли Крюкової, буд. 58 кв. 4, Вознесенівка, 68535",+380 70 959-81-58,hrechkodaryna@example.org
Артимишин,Віталій,Олексійович,Чоловік,1985-11-08,Складальник,хутір Вінниця,"парк Новиков міст, буд. 96, Горлівка, 10773",+380 (74) 935-24-96,onehoda@example.net
Базилевський,Ростислав,Арсенійович,Чоловік,1985-05-14,Державний службовець,село Боярка,"провулок Поштовий, буд. 98 кв. 16, Верхньодніпровськ, 64240",083 530-14-87,zsheremeta@example.com
Їжакевич,Феофан,Григорович,Чоловік,1949-05-07,Дизайнер,місто Рубіжне,"площа Сірожупанників, буд. 515, Малин, 87122",+380 83 439-41-02,mdanchuk@example.com
Дуплій,Мирон,Миколайович,Чоловік,1980-12-15,Астроном,хутір Хмельницький,"площа Валіховський, буд. 1 кв. 384, Ямпіль, 11393",526-24-01,mgerus@example.org
Стець,Соломон,Арсенійович,Чоловік,1960-10-26,Гицель,хутір Олександрія,"вулиця Кладовищенська, буд. 61, Рубіжне, 57652",+380 75 008 49 42,opanasarkhymovych@example.org
Баранник,Лукʼян,Олексійович,Чоловік,1942-03-20,Психолог,селище Конотоп,"узвіз Пастера, буд. 56, Хрестівка, 54567",052 544 93 39,zasenkovioletta@example.org
Артюшенко,Олег,Арсенійович,Чоловік,2004-08-16,Хімік,місто Вишневе,"вулиця Тиха, буд. 570 кв. 2, Борзна, 66361",018 532 52 75,pylypmakarenko@example.com
Василевич,Єфрем,Олексійович,Чоловік,1990-08-11,Паблік рилейшнз,хутір Гірське,"сквер Садовий, буд. 69 кв. 8, Бердянськ, 19324",914-58-65,prokhir74@example.org
Токар,Зорян,Володимирович,Чоловік,1942-12-19,Фізик,хутір Антрацит,"парк Родоканакі, буд. 69, Бердичів, 46120",661 48 82,albina28@example.org
Забарний,Єлисей,Юрійович,Чоловік,1984-11-27,Драматург,місто Богодухів,"площа Палубний, буд. 32 кв. 05, Берислав, 64830",+380 28 855 46 46,ostap03@example.org
Яковенко,Борис,Олексійович,Чоловік,1950-09-19,Кухар,хутір Шостка,"узвіз Італійський, буд. 62, Вилкове, 24358",011 72 46,viacheslav81@example.net
Гавриленко,Гаврило,Євгенович,Чоловік,1999-02-09,Інженер,хутір Новодружеськ,"набережна Стовпова, буд. 220 кв. 6, Ізмаїл, 04377",+380 87 993-25-61,khoma32@example.com
Байрак,Омелян,Павлович,Чоловік,2004-08-26,Продюсер,село Лисичанськ,"сквер Радісна, буд. 867 кв. 29, Чистякове, 36023",295-00-62,adam28@example.net
Ісаєнко,Устим,Григорович,Чоловік,1981-06-16,Мінералог,хутір Тальне,"шосе Мирослава Скорика, буд. 418, Городище, 52379",528 47 47,mariia06@example.org
Даниленко,Охрім,Сергійович,Чоловік,2002-07-09,Клоун,хутір Львів,"провулок Бодаревського, буд. 624, Красилів, 13836",+380 06 043 87 92,ielysavetazarudnyi@example.org
Калениченко,Леонтій,Сергійович,Чоловік,1998-10-05,Футболіст,селище Бар,"узвіз Львівська, буд. 1, Старий Крим, 64542",+380 53 742-06-98,olha50@example.net
Ящук,Данило,Васильович,Чоловік,1952-09-07,Громадський діяч,село Нікополь,"узвіз Десята, буд. 457 кв. 8, Нікополь, 08439",036 818-36-84,iatseniukmakar@example.com
Кальченко,Борис,Олексійович,Чоловік,1939-09-02,Астронавт,село Слов'янськ,"провулок Вершинна, буд. 82, Березань, 28725",002 112-88-59,dilchenko@example.com
Єрошенко,Борислав,Арсенійович,Чоловік,1955-05-18,Провізор,місто Іловайськ,"провулок Дачний 2-й, буд. 687 кв. 163, Боково-Хрустальне, 48337",730-51-79,sirobabapanas@example.net
Шинкаренко,Володимир,Євгенович,Чоловік,1982-08-19,Паралегал,місто Южне,"парк Князівська, буд. 14, Зміїв, 41620",+380 90 923-25-36,adamsalii@example.com
Чаленко,Степан,Степанович,Чоловік,1941-06-05,Сантехнік,місто Збараж,"провулок Ключовий 2-й, буд. 2, Чорноморськ, 80382",+380 80 541 76 84,okhrim50@example.org
Чекалюк,Яків,Петрович,Чоловік,1981-04-30,Кінорежисер,селище Амвросіївка,"шосе Совіньйонівський, буд. 314 кв. 978, Фастів, 25282",010 965-94-75,iukhymsvystun@example.com
Засядько,Гаврило,Богданович,Чоловік,1985-06-09,Промисловець,хутір Рахів,"сквер Штильова, буд. 847 кв. 4, Міусинськ, 45573",+380 (35) 450-20-40,klavdiianestaiko@example.com
Іщенко,Віктор,Романович,Чоловік,1999-10-31,Письменник,хутір П'ятихатки,"узвіз Місячний, буд. 76 кв. 165, Брянка, 10436",+380 28 391-45-87,korbutarsen@example.net
Дергач,Гліб,Богданович,Чоловік,1949-06-20,Кухар,місто Вільногірськ,"парк Лінія 48-ма, буд. 537 кв. 2, Харків, 15152",+380 (56) 846-30-15,bohdannakolesnychenko@example.net
Саєнко,Мартин,Максимович,Чоловік,1947-12-13,Підприємець,місто Шаргород,"шосе Березова, буд. 28, Львів, 40962",025 428-81-11,marta03@example.net
Палій,Климент,Максимович,Чоловік,1951-01-07,Стоматолог,місто Чортків,"узвіз Канатний, буд. 294 кв. 566, Волочиськ, 46595",578-20-27,vovkadam@example.com
Червоненко,Лукʼян,Юрійович,Чоловік,1972-12-09,Дантист,село Сарни,"парк 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Щастя, 59906",+380 67 748-90-55,lytvynenkovasyl@example.org
Худяк,Микита,Степанович,Чоловік,1970-08-12,Стоматолог,хутір Ромни,"парк Інглезі, буд. 4 кв. 58, Нова Каховка, 17414",+380 49 466-34-60,elaba@example.net
Короленко,Владислав,Богданович,Чоловік,1966-12-12,Ґрунтознавець,хутір Волочиськ,"сквер 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 171, Білицьке, 92974",667 42 36,bderiazhnyi@example.net
Товстоліс,Дан,Сергійович,Чоловік,1999-06-14,Біолог,село Львів,"набережна Аеропортівський 3-й, буд. 170 кв. 37, Збараж, 54585",029 339 58 55,valentyntryhub@example.com
Власенко,Симон,Тимофійович,Чоловік,1975-01-09,Кінокритик,село Ковель,"площа Світанку, буд. 0 кв. 450, Ізмаїл, 30892",+380 48 781-01-22,rperepelytsia@example.org
Журба,Охрім,Володимирович,Чоловік,1983-02-21,Антрополог,село Заліщики,"проспект Суднобудівний, буд. 6 кв. 58, Золочів, 23838",467-27-16,mykhailo63@example.org
Василевич,Устим,Максимович,Чоловік,1946-03-23,Актор,село Керч,"площа Пересипська 5-та, буд. 515 кв. 423, Перемишляни, 14616",+380 65 796-17-49,kyrylovashchenko-zakharchenko@example.org
Вдовиченко,Ростислав,Максимович,Чоловік,1988-11-20,Кушнір,село Костопіль,"шосе Студена, буд. 72 кв. 308, Боярка, 48269",094 146 68 98,zaietsorest@example.com
Андріїшин,Тарас,Євгенович,Чоловік,1976-03-19,Клавішник,селище Златопіль,"вулиця Вірського, буд. 271, Чигирин, 15316",+380 64 810-01-24,maryna96@example.net
Дергач,Валерій,Тимофійович,Чоловік,1976-12-13,Науковець,хутір Жовква,"провулок Добровольців, буд. 1 кв. 26, Хирів, 25197",282 97 75,mykhailyna70@example.org
Гупало,Сергій,Петрович,Чоловік,1991-07-12,Дерун,село Щолкіне,"провулок Лінія 42-га, буд. 015 кв. 1, Вишгород, 35336",029 486 24 69,bohuslavzasukha@example.org
Кармалюк,Мирослав,Павлович,Чоловік,2005-07-08,Правник,село Покровськ,"набережна Селекційна, буд. 2 кв. 5, Селидове, 14935",020 86 43,tereshchenkoorkhyp@example.org
Яценюк,Яків,Андрійович,Чоловік,1991-08-01,Соціолог,село Кременець,"провулок Лінія 24-та, буд. 61 кв. 715, Сокиряни, 25951",+380 20 262-37-03,wzhadan@example.org
Харченко,Климент,Степанович,Чоловік,1964-07-05,Кур'єр,хутір Тернівка,"проспект Шкільний, буд. 134, Зборів, 19981",+380 71 674 66 51,boleslavakulenko@example.net
Бандера,Яків,Максимович,Чоловік,1987-02-13,Водій,хутір Белз,"провулок Амбулаторний, буд. 95 кв. 801, Дружківка, 75098",082 805-17-00,oleksa81@example.com
Башполченко,Олекса,Сергійович,Чоловік,1966-11-02,Астронавт,село Новояворівськ,"вулиця Дорожня, буд. 5, Южноукраїнськ, 14284",+380 (55) 414-15-08,odarkaprokopovych@example.com
Артимишин,Зорян,Романович,Чоловік,2005-10-17,Машиніст,місто Лубни,"провулок Ялинкова, буд. 039 кв. 370, Золотоноша, 42181",+380 (05) 737-45-34,hrytsenkovasylyna@example.org
Верменич,Геннадій,Олексійович,Чоловік,1945-07-22,Адвокат,село Камінь-Каширський,"набережна Соборна, буд. 851 кв. 5, Моспине, 02182",099 093-39-24,vzatula@example.net
Штепа,Георгій,Григорович,Чоловік,1966-09-17,Мікробіолог,хутір Борислав,"шосе Євгена Крамаренка, буд. 635, Чистякове, 45332",041 994-04-34,karpenkomykolai@example.net
Власенко,Геннадій,Юрійович,Чоловік,1985-06-14,Фольклорист,селище Лиман,"шосе Підйомний, буд. 460, Кривий Ріг, 78326",064 131-06-08,pvlasiuk@example.org
Онуфрієнко,Микита,Андрійович,Чоловік,1990-10-19,Антрополог,село Новий Розділ,"вулиця Наклонна, буд. 66, Сімферополь, 96928",+380 (69) 595-13-75,khomenkoorkhyp@example.com
Рева,Климент,Юрійович,Чоловік,1993-04-10,Штукатур,місто Заводське,"площа Кінна, буд. 5 кв. 6, Гадяч, 11324",+380 22 505-40-33,pavlenkoiaryna@example.com
Луценко,Августин,Григорович,Чоловік,1974-08-13,Електрослюсар,село Керч,"узвіз Естонська, буд. 078 кв. 566, Приморськ, 46940",+380 82 614-82-50,anita69@example.org
Ільєнко,Богуслав,Петрович,Чоловік,2003-04-20,Льотчик,хутір Бережани,"сквер Фестивальний, буд. 1 кв. 71, Ічня, 86821",017 591 35 98,iemelianenkobohuslav@example.org
Петрик,Соломон,Петрович,Чоловік,1940-08-22,Стиліст,селище Харцизьк,"набережна Дачний 2-й, буд. 84, Сарни, 84925",514-51-57,snizhanamedvedenko@example.net
Ярема,Георгій,Петрович,Чоловік,2006-02-23,Письменник,хутір Липовець,"набережна Лиманна, буд. 7 кв. 1, Сокаль, 24497",+380 92 551 75 88,alinabandura@example.com
Затовканюк,Віктор,Володимирович,Чоловік,1948-06-05,Дерун,місто Красногорівка,"парк Олександрійський, буд. 820, Севастополь, 51861",+380 25 158 14 80,yiefymenko@example.org
Гайда,Веніямин,Юрійович,Чоловік,1971-10-03,Реставратор,селище Долина,"узвіз Абрикосова, буд. 169, Кропивницький, 82571",+380 05 815 47 00,iaryna26@example.net
Приходько,Тарас,Петрович,Чоловік,1993-08-11,Різноробочий,місто Кременчук,"проспект Лінія 40-ва, буд. 162 кв. 4, Погребище, 13165",+380 44 291-72-14,hiurchenko@example.com
Чекалюк,Семен,Григорович,Чоловік,1951-10-13,Кіноактор,селище Красногорівка,"шосе Фруктовий, буд. 88 кв. 032, Перещепине, 89790",034-80-31,bohodarlytvyn@example.org
Лавренко,Демид,Петрович,Чоловік,2002-09-12,Пілот,селище Заставна,"провулок Князя Ярослава Мудрого, буд. 893, Самбір, 18998",+380 22 868-92-78,xkolesnychenko@example.org
Терещук,Азар,Степанович,Чоловік,1944-05-06,Мінералог,місто Івано-Франківськ,"сквер Стовпова, буд. 9, Заставна, 59904",+380 76 400-81-10,stefan29@example.net
Канівець,Тимофій,Богданович,Чоловік,2005-07-24,Пекар,місто Кам'янка-Дніпровська,"узвіз Біляївська, буд. 20 кв. 160, Армянськ, 26856",183 44 15,kozakfrants@example.org
Авдєєнко,Артем,Іванович,Чоловік,2004-05-21,Футболіст,село Збараж,"набережна Новосельского, буд. 3, Стрий, 66211",+380 83 586 45 40,bhavryshkevych@example.org
Кириленко,Пантелеймон,Павлович,Чоловік,1992-02-11,Реставратор,село Кропивницький,"провулок Гранатна, буд. 2, Шахтарське, 03489",818-00-69,pavlo32@example.org
Ґерус,Мартин,Богданович,Чоловік,1998-08-15,Педагог,місто Рожище,"набережна Ювілейний 2-й, буд. 167, Мелітополь, 40938",+380 81 275-31-50,erikamykytiuk@example.com
Дробаха,Вадим,Павлович,Чоловік,1941-12-06,Музикознавець,хутір Запоріжжя,"парк Географічний, буд. 16, Алмазна, 67820",+380 32 586-79-94,stanislaviakymenko@example.net
Деряжний,Дан,Євгенович,Чоловік,1971-07-28,Філолог,селище Сарни,"шосе Жаботинського, буд. 90, Синельникове, 88227",+380 39 835-39-92,bashpolchenkoiryna@example.net
